Response ID,gender_core,age_core,entity_tenure - Months,conditions_rate_core,safety_core,pressure_to_work_core,factory_recommend_tf_core
R_NWsXPxRYLgaHyN3,0,23,9,3,5,1,1
R_xEqDNOLiEXbjbHz,1,42,22,5,4,1,1
R_1rHQPbnkRZ2YmCu,0,25,9,3,5,3,1
R_brrjwQK6gUoj9i9,0,23,8,4,5,1,1
R_Ahtd32nJFpk07uN,0,52,72,3,3,1,0
R_DJlarxyehOlSwyl,1,32,12,5,5,1,1
R_1guTwTsg9llcClH,0,24,24,4,5,1,1
R_Zk4TG36ArjqpK25,0,35,132,4,4,1,1
R_1gpSJIOfHPYySST,0,27,109,5,5,1,1
R_bkYsu6oNOZVoc8x,0,47,48,3,5,2,1
R_AaDYWxdX0FWnIPv,1,24,8,4,5,1,1
R_1OjfTkFvcNhNpiQ,1,26,46,5,5,1,1
R_1d05Xc1FDHIW0BT,1,31,2,5,5,1,1
R_3JlxDHmZVDhmKwZ,0,37,171,4,4,1,1
R_2XhpIpEDlY0bndU,1,24,24,3,5,1,1
R_9ylDxTVmcZIfSwN,1,26,72,5,5,1,1
R_1PbeaO2DUsC2gXY,0,19,7,4,4,1,1
R_3nVmbM2bazwda6W,1,30,24,5,5,1,1
R_2tAnxopGDzWqZN3,1,22,9,4,5,1,1
R_3IaFjsHyvK47hQp,0,19,8,4,5,1,1
R_272LMthElD6XJm5,0,45,46,4,5,1,1
R_1eKvDAoH0du6QlR,0,22,7,3,5,1,1
R_1OH2LKMBjT174wL,0,19,4,5,5,1,1
R_2QEAsNfoRePxbMm,0,22,3,4,5,1,1
R_31dvQnI6T08vM7X,0,23,9,4,5,1,1
R_23VNnmLlAamKKoR,1,40,2,5,4,1,1
R_2v7ZCokgLGRbTNC,0,30,1,5,5,1,1
R_22YpQ01zU3O2t3b,0,40,120,3,5,1,1
R_2UbBpsSwCqt9hM7,0,38,109,5,5,2,1
R_xnK7X3DNA7LH3ln,0,30,12,4,4,1,1
R_1rCuTSORNIkKljV,0,26,60,3,4,1,1
R_3suXcqzqZCGpbiK,0,37,48,4,4,1,1
R_27HA1jq1rR7Jylq,0,35,84,5,5,1,1
R_1gnl3OukVsdp36N,0,25,1,4,5,1,1
R_2fHttf8kbtVfJa8,1,37,121,4,4,1,1
R_33yxsdj6EpaNU7o,0,49,14,5,5,1,1
R_3HtVtBZfsLTkoYO,1,23,42,3,3,3,1
R_1oI6kcPMrEyn4eM,0,53,7,5,5,1,1
R_BApROaOoApfVqBb,1,27,18,4,5,1,1
R_bkI97T2tvvtnOtH,1,19,12,3,5,5,1
R_798MZLM60U69gpb,0,38,120,5,5,1,1
R_2tyutnfhXbqJzHg,0,23,6,4,4,1,1
R_1HerQvzgnxd6ybV,1,26,6,3,5,3,1
R_2EmKjFfetjptUGe,0,24,7,5,5,1,1
R_3qEywXXYSVcJKeg,0,32,36,3,5,1,1
R_2SwuehLDrVgW6Gn,1,19,12,4,5,1,1
R_2rZNcxM8FHIUgwS,1,24,2,3,3,3,1
R_78LkSBuNsodS2Z3,0,20,24,3,3,1,1
R_1kM23e7THzeHihL,1,20,8,3,4,1,1
R_2qDADBLWMVe6ro0,0,26,23,5,5,,1
R_1dczTEUX5awP6g4,1,24,6,3,4,1,1
R_R3xvAjNtJ3yexsl,0,29,27,5,5,1,1
R_30isOmiW6uxmyK8,1,23,35,4,5,1,1
R_3PyI1oJ0cknwcsS,0,39,48,5,5,1,1
R_WkeRUJiJm9aEkwx,1,23,3,5,5,1,1
R_A1LtjjeVmi4iUh3,0,18,2,4,5,1,1
R_1PcPF1wf7XOaz43,1,27,1,3,5,1,1
R_3PRCQFEjnNloJok,0,20,8,4,5,1,1
R_3Jen2HsU9b16P5P,1,38,60,4,5,1,1
R_3n7d8O9jhmGrSyO,1,34,12,5,5,1,1
R_29hKHWAot2uwVEd,0,42,60,5,5,1,1
R_uqg3Xj0QRBOEVJD,0,33,1,4,5,1,1
R_VPTCwh8LUxLHehz,0,24,0,5,5,1,1
