Response_ID,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,return_next_season_core,factory_recommend_tf_score
R_2PiGKeOsDkdqQ56,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_YQbM6e430rTJggF,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_eQoaMEe6kgRL6TL,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_d5s5jXLOtYVVgf7,Very satisfied,Yes,Yes,Very good,Yes,1
R_27eAOnaMPLKva6W,Somewhat Satisfied,Yes,No,Very good,Yes,1
R_22taRbbDfXFYx52,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_2wFcUWPYlYGSM8S,Very satisfied,Yes,Yes,Very good,Yes,1
R_3kBZgHlnHFJjhs0,Very satisfied,Yes,No,Very good,Yes,1
R_3lAn8pswpsfs04V,Somewhat Satisfied,Yes,Yes,Neither good or bad,Don't know,1
R_9tdUJ63KF0ztvPj,Very satisfied,Yes,Yes,Very good,Yes,1
R_2a9r10kGs9OBAFr,Neither satisfied nor dissatisfied,Yes,Yes,Very good,Yes,1
R_3paorM0DFiQNb6W,Very satisfied,Yes,Yes,Very good,Yes,1
R_2twMIoiWLUxYY6t,Very satisfied,Yes,Yes,Very good,Yes,1
R_264HTsSnVtn7Mnl,Neither satisfied nor dissatisfied,No,No,Neither good or bad,Don't know,1
R_UnX0otk7RHuA3y9,Very satisfied,Yes,No,Very good,Yes,1
R_3GEaPy8ES1cJtGB,Very satisfied,Yes,Yes,Very good,Yes,1
R_1lbEATlO0HvdVUI,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_3k1WXPVvaN4u3Zo,Very satisfied,Yes,Yes,Very good,Yes,1
R_e2oDEoaQJrn8tNf,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_bQ2xJa8bToebpWV,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_2Ce3zYyTMs7bMdR,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_1lfAypwuwBfiCvf,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_3L84XRTGyCBRN6n,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_2PwiuqnGD9LqsO0,Somewhat Satisfied,Yes,No,Very good,Yes,1
R_QglmtKfZgxnqkSd,Somewhat Satisfied,Yes,No,Somewhat bad,Yes,1
R_29sP38x9VKH5vDE,Very satisfied,Yes,Yes,Neither good or bad,Yes,1
R_27BCYgMgsgjOAnm,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,1
R_vSR0h8ZGhXJNkZP,Somewhat Satisfied,No,No,Somewhat good,Yes,1
R_27DQJefRSEiaZC1,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_32Wppk9VWzvSYzq,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_308YFwe8OajxtLe,Somewhat Satisfied,No,Yes,Very good,Yes,1
R_uh7fmnGobTt5zXj,Somewhat Satisfied,Yes,No,Very good,Yes,1
R_3nJC0yxNFZgVaFM,Very satisfied,Yes,No,Very good,Yes,1
R_3hEKF79W9PnonPL,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_2dLadmHNMhoStQ7,Refused,Refused,Refused,Somewhat good,Yes,1
R_PtWCHT9AMa7GvW9,Somewhat Satisfied,Yes,No,Very good,Yes,1
R_2RVUKwfkvzbe4s5,Very satisfied,Yes,No,Very good,Yes,1
R_3CPcuKqPOWX0tDL,Somewhat dissatisfied,No,No,Somewhat good,Yes,1
R_3nABoKuhjXXVtHW,Very satisfied,Yes,Yes,Very good,Yes,1
R_25ZMe4yCjsLlJ2E,Very dissatisfied,Yes,Yes,Very good,Yes,1
R_2zMhfZfpXkNryw3,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_W9hD5XJ4a35iUrD,Very satisfied,Yes,Yes,Very good,Yes,1
R_2DZ9ZFSJ1qKLTQO,Somewhat Satisfied,No,No,Neither good or bad,Yes,1
R_3L51SXU19qIRrgt,Very satisfied,Yes,No,Somewhat good,Yes,1
R_210ql76n1LrjQDP,Very satisfied,Yes,Yes,Very good,Yes,1
R_9ZYc64uSO3IKY8x,Very satisfied,Yes,No,Somewhat good,Yes,1
R_2ypUoCbsOs32BCS,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_2qDyKVsTanbmyxC,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_2BlMV3oFDAtvNO1,Very satisfied,Yes,Yes,Very good,Yes,1
R_3JKM2THeyUP8VFm,Very satisfied,Yes,Yes,Very good,Yes,1
R_1eDfPWrBzv2OGBk,Somewhat Satisfied,No,No,Somewhat good,Yes,0
R_2D5EKlFZqb1LsAG,Somewhat Satisfied,No,Don't know,Neither good or bad,Yes,1
R_2t3BUryVgTkgnDG,Very satisfied,Yes,No,Neither good or bad,Yes,1
R_RsrxGMkDWSGIBP3,Very satisfied,Yes,Yes,Very good,Yes,1
R_2V1EGmodaA4UDGs,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_1pDO85CVUrlOtfo,Neither satisfied nor dissatisfied,No,No,Neither good or bad,Yes,1
R_1KfkFoHSGS40xFf,Very satisfied,Yes,No,Somewhat good,Yes,0
R_XTzJnRvrTGALpOF,Very satisfied,Yes,Yes,Very good,Yes,1
R_3I5jQPbX4AGKYvO,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_3Ms5Y3qOrwwbKVf,Very satisfied,Yes,No,Somewhat good,Yes,1
R_8iBo6krssCyOP7z,Neither satisfied nor dissatisfied,Yes,Yes,Somewhat good,Yes,1
R_2tr5iRkFk8t0cXq,Somewhat Satisfied,No,No,Neither good or bad,Yes,1
R_ZK1SB5hFMjXyaHv,Somewhat Satisfied,Yes,Yes,Somewhat good,Don't know,0
R_Requ99XCGt3cm9X,Neither satisfied nor dissatisfied,No,No,Neither good or bad,Yes,1
R_zV9qmYGfhMi33nb,Very satisfied,Yes,Yes,Very good,Yes,1
R_5c1BFufNkMoMlQ5,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_30qp3XCEXZn0r7C,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_3iEkLRqIUvJI77Y,Very satisfied,Yes,Yes,Very good,Yes,1
R_2rvikQRDyQQJmUo,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,1
R_262FhSyqMhp8jNn,Somewhat Satisfied,Yes,No,Somewhat good,Don't know,0
R_2wFuQuZC6o2dOh8,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_2RaCE7xbyIX3fDL,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_eM9Op5L0kNU654R,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Don't know,1
R_2Vx9IEuj5AUQC1f,Very satisfied,Yes,Yes,Very good,Yes,1
R_3k1kbTjdaPtXv7D,Very satisfied,Don't know,No,Neither good or bad,Yes,1
R_1Nl9aR8b7j5UFDc,Neither satisfied nor dissatisfied,Yes,No,Somewhat good,Yes,1
R_cMbLdhlmZf2E5Wh,Somewhat Satisfied,Yes,Yes,Neither good or bad,No,1
R_114pBvpQUtCwwPF,Somewhat dissatisfied,Yes,No,Neither good or bad,No,0
R_3rTxRFwziq0cIdG,Very satisfied,Yes,No,Very good,Yes,1
R_1rAKjpRIiR0YKwX,Very satisfied,Yes,No,Somewhat good,Yes,1
R_1DU2meWD3weZZd6,Very satisfied,Yes,No,Very good,Yes,1
R_2D1PrJ92zh4QIzM,Somewhat Satisfied,Yes,No,Very good,Yes,1
R_6KbyFX3ANlYWBlT,Very satisfied,Yes,No,Somewhat good,Don't know,1
R_1Cc30HxsOtjcVsl,Very satisfied,Yes,No,Somewhat good,Yes,1
R_3ENpDv0UYuUspnD,Somewhat Satisfied,Yes,No,Somewhat good,Don't know,1
R_eYhQa3V9VPmzV7P,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_2PduJjhfH1F1OJa,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_9QZhYNd4w32kk49,Somewhat Satisfied,Don't know,No,Neither good or bad,Yes,1
R_sd4aYZQdxi4M30B,Very satisfied,Yes,No,Neither good or bad,Yes,0
R_3EYbKhBSJ1Vp0Gr,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_2waWp90mzgvrxZ4,Very satisfied,Yes,No,Neither good or bad,Yes,1
R_sAqNW5TcESKdydb,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_2Y54Gm4UKZTBmap,Very satisfied,Yes,Yes,Very good,Yes,1
R_3NIAyszgr58df3X,Very satisfied,Yes,Yes,Very good,Yes,1
R_88q43AktDZKxtmN,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_3JDHl3gnrKVJOTX,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_2cnMyEyeKjtNiZ3,Very satisfied,Yes,No,Very good,Yes,1
R_1jBNDtZIf1O8LOF,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_1pLGzUyBLWdDXHM,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_2fHHi575C6IDzyz,Very satisfied,Yes,No,Somewhat good,Yes,1
R_CdyAuXxjRNGy7xD,Very satisfied,Yes,Yes,Very good,Yes,1
R_cHogGOdLeXwJ3tD,Somewhat Satisfied,Yes,No,Very good,Yes,1
R_3PSMOKeuUgLFuSs,Very satisfied,Yes,No,Neither good or bad,Yes,1
R_3JgEJShbEMDM616,Very satisfied,Yes,No,Very good,Yes,0
R_27gviN0D3Uk7q7E,Very satisfied,Yes,No,Somewhat good,Yes,1
R_25FNUau1WWGHfFT,Very satisfied,Yes,Yes,Neither good or bad,Yes,1
R_2pRhqwmUnQeRsKz,Somewhat Satisfied,Yes,No,Very good,Yes,1
R_agBKsJ2WMQ7bnHj,Very satisfied,Yes,No,Very good,Yes,1
R_1mDEGuMoqQXBrps,Very satisfied,Yes,Yes,Very good,Yes,1
R_bmi2k5V2NldcMj7,Very satisfied,Yes,No,Neither good or bad,Yes,1
R_3kn3Pp9BOW7NR9W,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_tQfDyqs3eQvRUEp,Very dissatisfied,Yes,Yes,Very good,Yes,1
R_1lcPq1mZLVNVwus,Very satisfied,Yes,Yes,Very good,Yes,1
R_2qy1WH4duT8yZUY,Very satisfied,Yes,No,Somewhat good,Yes,1
R_ai4RrB8vjPlfjTr,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,1
R_27rmlI5vRnWUZ3Z,Very satisfied,Don't know,No,Somewhat good,Yes,0
R_1eKOoo2vwdirrnp,Somewhat Satisfied,Yes,No,Very good,Yes,1
R_2ztGsWSIxjjVZMp,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Don't know,1
R_1H2bMiIBatzzl0o,Very satisfied,Yes,Yes,Very good,Yes,1
R_3fYIGpWWGNl60U6,Somewhat Satisfied,Yes,Yes,Neither good or bad,Don't know,1
R_2WvDUnBAq1iGDNy,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,0
R_2Cg1erIrUs73gAg,Very satisfied,Yes,No,Somewhat good,No,1
R_2rwEUkrceNkdJQD,Very satisfied,Yes,Yes,Very good,Yes,1
R_2f8KRFqV9tKZ93f,Somewhat Satisfied,Yes,No,Somewhat good,Don't know,1
R_2ON48Xe1RZZrym9,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_Y4uIMdFSXnBkUcp,Somewhat Satisfied,Don't know,No,Somewhat good,No,1
R_2V8hNEt9q6QfKte,Very satisfied,Yes,Yes,Very good,Yes,1
R_2sXzyjWiUbY7SfG,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_3033cS75RPTdZp7,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_3KwlIVY2GMbyRXy,Very satisfied,Yes,No,Very good,Yes,1
R_1Hjh8yzTOLjlvcY,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_1QmgWaCBgk9IUQr,Somewhat Satisfied,Yes,Don't know,Very good,No,1
R_3L72K3CCwveVKys,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_1rJumK1GQAPa3Dn,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_3nuSQuvCgPCzgEc,Very satisfied,Yes,No,Somewhat good,Yes,1
R_8ogHBJDWEkHHYI1,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_2zvZQXbsSZpeWW9,Somewhat Satisfied,No,Yes,Neither good or bad,No,0
R_r8cTcwJWxGQ9EfT,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_zVkiIiqWslWcLcJ,Neither satisfied nor dissatisfied,Yes,Yes,Somewhat good,Yes,1
R_1jNGWMzMq6qNwLX,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_25uyBUHBd8IcGNd,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_ZagqwNFgB5JRcmB,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_3dEAEpU2NVHgMfG,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_1zSDzGyCn65jJRL,Very satisfied,Yes,Yes,Very good,Yes,1
R_2U6o3g0oWZGujon,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,0
R_2PB8NA52Xyky9lQ,Very satisfied,Yes,Don't know,Very good,Yes,1
R_1LS6E7RH9TOoled,Very satisfied,Yes,No,Very good,Yes,1
R_3Pi8pE8VS6Z1dn6,Somewhat Satisfied,Yes,No,Somewhat good,Don't know,1
R_1mqpwuVVwWpreUc,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_3hiQMakjxfzE3oM,Somewhat Satisfied,Yes,No,Somewhat good,Don't know,0
R_vVJYfyH70aO9qc9,Very satisfied,No,Yes,Very good,Yes,1
R_1GNcuJdrZoosCM2,Very satisfied,Yes,No,Somewhat good,Yes,1
R_3KVEHaRiXc0iWe1,Somewhat Satisfied,Yes,No,Very good,Yes,1
R_2aQTLif7kpk9Ok5,Somewhat Satisfied,Yes,No,Somewhat bad,Don't know,1
R_6eRbr9x1fWtwk5r,Very satisfied,Yes,No,Very good,Don't know,1
R_1ooi5xeJkEGrCMa,Very satisfied,Yes,No,Neither good or bad,Yes,0
R_1MVPXvKoqqKKseD,Very satisfied,Yes,No,Somewhat good,Don't know,1
R_2XjslPMhYGyJooU,Neither satisfied nor dissatisfied,Yes,Yes,Somewhat good,Yes,1
R_1GJROSkMoECdETb,Somewhat Satisfied,No,No,Somewhat good,Yes,1
R_2tCZ29rRR5B3tKd,Very satisfied,Yes,Yes,Very good,Yes,1
R_2BaHTEH5MCAbdbk,Very satisfied,Yes,Yes,Very good,Yes,1
R_3sytnfJj5TqIfQh,Very satisfied,Yes,No,Very good,Yes,0
R_qVjGUungh6E5R7j,Somewhat Satisfied,Yes,No,Somewhat good,Don't know,1
R_bHm3wJSr9BOzMDn,Very satisfied,Yes,No,Very good,Yes,1
R_3KYKSdxUEt5zVZm,Very satisfied,Yes,No,Neither good or bad,Yes,1
R_3OfCf88j3qB8scp,Neither satisfied nor dissatisfied,Don't know,No,Neither good or bad,Yes,0
R_1PcoIxgcQeyW1xF,Very satisfied,Yes,No,Somewhat good,Yes,1
R_1P4LJY0Dk5Y9v0F,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_3QJHFyQW2pIU9Hw,Very satisfied,Yes,No,Very good,Don't know,0
R_w5IKT3SGmxCa6sx,Very satisfied,Yes,No,Very good,Yes,1
R_2agXLJCg5FGteuS,Very satisfied,Yes,No,Neither good or bad,Yes,1
R_3ltXphI5Xz8WG1I,Somewhat Satisfied,Yes,No,Very good,Don't know,1
R_3IbCMkEtpmBMcN6,Very satisfied,No,No,Somewhat good,Yes,1
R_1N39M8xeCqZXR5T,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_yszB60K7ZhDdg2d,Very satisfied,Yes,Yes,Very good,Yes,1
R_3sn2QTheIVdX22K,Neither satisfied nor dissatisfied,Yes,Yes,Very good,Yes,1
R_x3OcpnrwFqW7AyZ,Very satisfied,Yes,No,Neither good or bad,No,0
R_2Cv5hX3YIYIqbwS,Very satisfied,Yes,Yes,Very good,Yes,1
R_2CBWUjc7BhhJrTF,Very satisfied,Yes,No,Very good,Yes,1
R_2ype8cqjtwOIfGS,Very satisfied,Yes,Yes,Very good,Yes,1
R_12tJ1gKZeH8vB3R,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_3shLHfHe28iLRHQ,Somewhat Satisfied,Yes,No,Neither good or bad,Don't know,1
R_3NFgBo1OXt67wiY,Very satisfied,Yes,No,Very good,Yes,1
R_33guODwzyNX8iTY,Very satisfied,Yes,Yes,Very good,Yes,1
R_2VKk8nGkLpOkYFo,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_2qr749KtbCF5lnm,Very satisfied,Yes,Yes,Very good,Yes,1
R_3EbYrCBuRKDrFLO,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_3rTD9h2wVT9Jkm3,Very satisfied,Yes,Yes,Very good,Yes,1
R_1ONoNVMimi8jeK6,Very satisfied,Yes,No,Very good,Yes,1
R_yI0Ew2A134eJH6p,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_2uybZUjLeqXljUU,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Don't know,0
R_6lpYo8z7Iaf96XD,Very satisfied,Yes,No,Very good,Yes,1
R_2RP5tstFtALAmFH,Somewhat dissatisfied,No,No,Very bad,Don't know,0
R_2sZrnDfvnnOlKVb,Very satisfied,Yes,No,Somewhat good,Yes,1
R_3e989NVV2Bvhx9w,Very dissatisfied,No,Yes,Somewhat good,Yes,1
R_3QYsACY9JiVfkqZ,Neither satisfied nor dissatisfied,Yes,No,Somewhat good,Don't know,1
R_3NFfYy9xMXlHz52,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_2tbvjkczOoE9BhQ,Neither satisfied nor dissatisfied,Yes,Yes,Very good,Yes,1
R_1DnU0hgh4GB4k5E,Very satisfied,Yes,Yes,Very good,Yes,1
R_3g70qi0nx8k2MbM,Neither satisfied nor dissatisfied,Yes,No,Somewhat good,Yes,1
R_1FP8jGCbyfAwAwb,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_Y5hg68WCyYE8Ne9,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_1DtWe1stwau3pVe,Neither satisfied nor dissatisfied,Don't know,No,Neither good or bad,Don't know,0
R_2BgNQTulV5mvIL0,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Don't know,1
R_2460TwKfDko9QAi,Very satisfied,Yes,No,Somewhat good,Yes,1
R_2QmNZPQ1reJq02P,Somewhat Satisfied,Yes,Yes,Very bad,No,0
R_qKtWxiFI2Y7HNDz,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Yes,1
R_WkTw0MEOOjyuIyR,Very satisfied,Yes,No,Very good,Yes,1
R_PZMF1J3GuzvcFBD,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Don't know,1
R_eVQauxOh1PXfFxT,Somewhat Satisfied,Don't know,No,Somewhat good,Yes,1
R_30vnXbzp2fvhmVC,Somewhat Satisfied,Yes,No,Somewhat good,Don't know,1
R_1Fmj1qp6sBE1GYD,Somewhat dissatisfied,No,Yes,Somewhat good,Don't know,0
R_OoNU9WZZpxRYhO1,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,1
R_3JjYU0Abk4XtYUF,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_1qe8DvBXVhLMS6S,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,1
R_PwerSV2TtVLJK6t,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Don't know,1
R_27scdmPpFVaHY0S,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,1
R_w1MzzSAXpRxnxTz,Very satisfied,Yes,Yes,Very good,Yes,1
R_2R2IgPB1rlyqslZ,Very satisfied,Yes,No,Very good,Yes,1
R_1gLtSvzw2udE6QT,Somewhat dissatisfied,No,No,Somewhat bad,Yes,0
R_3DtOiL0h50gk5vd,Very satisfied,Yes,No,Very good,Yes,1
R_en84XXGVG2JFik9,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_3qkwR0u59omsayv,Very satisfied,Yes,Yes,Very good,Yes,1
R_2y75RFcQPABsQ2P,Neither satisfied nor dissatisfied,Yes,Don't know,Somewhat good,Don't know,1
R_enx7OGef8x49R9n,Very satisfied,Yes,No,Very good,Yes,1
R_42ZvfjEUxkjcN4B,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,1
R_25FsS5nqVkZpsGl,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_b8bbDJtQuVBft7j,Very satisfied,Yes,Yes,Very good,Yes,1
R_1esCdxvoJwQdMNm,Very satisfied,Yes,No,Somewhat good,Yes,1
R_tY6zykThOk36UFz,Somewhat Satisfied,Yes,Yes,Neither good or bad,Yes,1
R_s5oDfJsV0iFMNm9,Very satisfied,Yes,Yes,Very good,Yes,1
R_1gI1laKF2Pl6q9Y,Very satisfied,Yes,No,Very good,Yes,1
R_STqa6yZIaLLOXiF,Neither satisfied nor dissatisfied,No,No,Somewhat bad,Yes,1
R_1im7ztRLAkUe8Lp,Very satisfied,No,Yes,Very good,Yes,1
R_2xRZ4J89HKdH6st,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,1
R_2af7CJpNoA1PKgm,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_3MoMUBgsoefRkNm,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_27J6eir6UUv25og,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_AHix5euURyH1qql,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_3kFkxHuMiNHDuJi,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_1hRy5bElKgEtskd,Very satisfied,Yes,Yes,Very good,Yes,1
R_28GrFOQ7CoDK2Ua,Neither satisfied nor dissatisfied,Yes,Yes,Somewhat good,Yes,1
R_2fIMvaYDto1tWfM,Very satisfied,Yes,Yes,Very good,Yes,0
R_UlGkI0CjNxeYjiF,Somewhat Satisfied,Yes,Yes,Very good,Yes,0
R_3J8cmLnOrlK8bmw,Somewhat Satisfied,No,No,Somewhat good,Don't know,1
R_2fDRq4EAKNZgH0t,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_ahgDELllPkMH8g9,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_1CwhLgf8kgntaM0,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_vYueb9F68ObRt0R,Very satisfied,No,No,Very good,Yes,0
R_3MLtJJ4vtgO8KWd,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_22xkMXavEWrACFz,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,1
R_1pKyGdYkYVYDqB6,Very satisfied,Yes,Yes,Very good,Yes,1
R_2tLnJXcKPPlayck,Very satisfied,Yes,Yes,Very good,Yes,1
R_3oGjA8MACL7LhnZ,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_27vdp1EKx09Iax4,Very satisfied,Yes,No,Neither good or bad,Yes,1
R_3IYkwTojwce07HI,Very satisfied,Yes,Don't know,Somewhat good,Yes,1
R_2TnueltvYZHsMl4,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_2YIXDChOHuZzPk4,Very satisfied,Yes,No,Very good,Don't know,1
R_3EGduDdCIVt5Xit,Very satisfied,Yes,Yes,Very good,Yes,1
R_33pYeqDayhGJeYF,Very satisfied,Yes,No,Somewhat good,Yes,1
R_1PShSkPzgjaSfyX,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,No,0
R_3h5vNJJ5U0erAIc,Very satisfied,Yes,No,Very good,Yes,1
R_9Yu1JZLHcAg7DgJ,Very satisfied,Yes,No,Very good,Don't know,1
R_Q61xn7nmLpkNPX3,Very satisfied,Yes,Yes,Very good,Yes,1
R_1odnV8Q4Mp788fr,Very satisfied,Yes,No,Neither good or bad,Don't know,1
R_1rCGlma455CYxSI,Neither satisfied nor dissatisfied,Don't know,No,Neither good or bad,Yes,1
R_27UNNu89vPeOsKw,Very satisfied,Yes,No,Somewhat good,Yes,1
R_2sYKs38fEqiYMa7,Very satisfied,Yes,No,Somewhat good,Yes,1
R_23TtEKed6uLlUhJ,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_245zbcWyZvk5nNh,Very satisfied,Yes,Yes,Very good,Yes,1
R_SDIK6bxnRJLivyV,Somewhat Satisfied,Yes,Yes,Neither good or bad,Don't know,1
R_1f2eF8RYKCVQGpQ,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_AdpjOnyH64I0obD,Very satisfied,Yes,No,Very good,Yes,1
R_1hF5fiGIFM7oIy0,Very satisfied,Yes,No,Very good,Yes,1
R_1NzApoEupI56v2J,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_xaMaVPpLCgojuFz,Very satisfied,Yes,Yes,Very good,Yes,1
R_1djkHrmLSX9G4Rm,Neither satisfied nor dissatisfied,Yes,Yes,Somewhat good,Yes,1
R_2PtLe7PlcX4a3pC,Very satisfied,Yes,No,Very good,Yes,1
R_2YGw4sJXNw7t49k,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,1
R_2asPVMECU9OFf7t,Very satisfied,Yes,No,Very good,Yes,1
R_11XZlh0hniqRl0B,Very satisfied,Yes,No,Somewhat good,Yes,1
R_2495hLeaM6KVt7k,Very satisfied,Yes,No,Very good,Yes,1
R_26kDUQNdcCix1tz,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_BsupJhxiqy3ORA5,Very satisfied,Yes,No,Somewhat good,Yes,1
R_Zme8mLeSHqa9q0N,Neither satisfied nor dissatisfied,No,No,Somewhat good,Yes,1
R_1mUYjYGnsOeTrRu,Somewhat dissatisfied,No,No,Somewhat bad,Yes,1
R_06EPBM5u6Swx1SZ,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_8PT5muoQEsA0jYM,Very satisfied,Yes,Don't know,Neither good or bad,Yes,0
R_mub2KM05G7XNPof,Very dissatisfied,No,No,Neither good or bad,No,1
R_o0QVNnFCbGYXWBk,Neither satisfied nor dissatisfied,Don't know,No,Neither good or bad,Yes,1
R_8tpwisnZ9uDKXJm,Somewhat Satisfied,Yes,No,Somewhat good,Yes,0
R_ccAMxwDHHdxiFnX,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,1
R_gQV3id9fq18Tg5Z,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_1yCIuFsx7UXfTaY,Very satisfied,Yes,No,Somewhat good,Yes,1
R_navWLtf73qZp8cW,Very satisfied,Yes,Don't know,Somewhat good,Yes,1
R_dSCuFhqlhyMjdQk,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,1
R_lHEsdITgEMi3TBx,Neither satisfied nor dissatisfied,Yes,Don't know,Somewhat good,Yes,1
R_gW5YGS92jzOJZHl,Somewhat Satisfied,Yes,Don't know,Very good,Yes,1
R_iIyQi8C0zwjlLDA,Somewhat Satisfied,Yes,Don't know,Neither good or bad,Yes,1
R_bRE05XCJT9rUXlX,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_2XjSClANvNDFD9R,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_1SAczaaD7T2Thob,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Yes,1
R_khtO9aZ7uRYbd0J,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Yes,1
R_6BzoDbmhzcOYNFi,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Yes,1
