Response_ID,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,return_next_season_core,factory_recommend_tf_score
R_29cTU5tt5Ju5Gu8,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_3PaBJ2fUBpZS2hI,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_Q4gMoR8DlQrFXIR,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_07JbBXwvBB9x5zX,Very satisfied,Yes,Yes,Very good,Yes,1
R_1mmFtXZh6e4kR8M,Somewhat Satisfied,Yes,No,Very good,Yes,1
R_10UdSiXnpDVvk0k,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_T14JVxVY3hLzv69,Very satisfied,Yes,No,Very good,Yes,1
R_2uDtLS9tUBZKYGS,Somewhat dissatisfied,No,No,Somewhat bad,Don't know,0
R_1kLnQc6FmDlkbi0,Very satisfied,Yes,Don't know,Very good,Yes,1
R_27WOv1vhaeqpxeT,Very satisfied,Yes,Yes,Neither good or bad,Yes,1
R_2s7PbjY2OmwP1zK,Somewhat Satisfied,Don't know,No,Neither good or bad,Yes,1
R_2PAugWfX3Juh16h,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Yes,1
R_3Q0nLxXCk4spCAs,Somewhat Satisfied,Yes,No,Very good,Yes,1
R_10YruvEVjshLta7,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_ylrV1zju2qV6y9r,Somewhat dissatisfied,No,No,Neither good or bad,Don't know,1
R_3n5evj6H49riOlj,Very satisfied,Yes,Yes,Very good,Yes,1
R_2an331KKUDlVX8T,Very satisfied,Yes,Don't know,Very good,Yes,1
R_20MPFKlt7nKuK1P,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_22FfgZ2c5Qyt8XM,Very satisfied,Yes,No,Very good,Yes,1
R_1kS8qOvn9EyOMsS,Very satisfied,Yes,Yes,Very good,Yes,1
R_1ohjrTVSYo1AhqX,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_1JDSZCaobS7Axhb,Somewhat Satisfied,Yes,No,Neither good or bad,Don't know,1
R_31ZrffTPIOf6V74,Very satisfied,Yes,Don't know,Neither good or bad,Yes,1
R_2ric8SZL7ngSG4x,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_3fGKouZSQ8z5BCB,Neither satisfied nor dissatisfied,Don't know,No,Somewhat good,Yes,1
R_1jUsWC7RlOPTTV0,Very satisfied,Yes,Yes,Very good,Yes,1
R_cU78wbIvJ6E7UhH,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Yes,1
R_RsP8FUce6bPYtvb,Very satisfied,Yes,Don't know,Very good,Yes,1
R_3HODN9dYIrfrbkV,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,1
R_yQLqrbTdrUwZVxT,Very satisfied,Yes,Yes,Very good,Yes,1
R_2Yr1dNFivgk5xjw,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_NWsXPxRYLgaHyN3,Somewhat Satisfied,Yes,Yes,Neither good or bad,Yes,1
R_xEqDNOLiEXbjbHz,Very satisfied,Yes,No,Very good,Yes,1
R_1rHQPbnkRZ2YmCu,Very satisfied,Yes,No,Neither good or bad,Yes,1
R_brrjwQK6gUoj9i9,Very satisfied,Yes,Don't know,Somewhat good,Yes,1
R_Ahtd32nJFpk07uN,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,0
R_DJlarxyehOlSwyl,Very satisfied,Yes,No,Very good,Yes,1
R_1guTwTsg9llcClH,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_Zk4TG36ArjqpK25,Neither satisfied nor dissatisfied,Yes,No,Somewhat good,Yes,1
R_1gpSJIOfHPYySST,Very satisfied,Yes,Yes,Very good,Yes,1
R_bkYsu6oNOZVoc8x,Very satisfied,Yes,No,Neither good or bad,Yes,1
