Response_ID,gender_core,age_core,education_level_core,worker_type_core,understand_contract,entity_tenure_total_months,safety_core,accident_last_year,covid_safety_measures_core,pressure_to_work_core
R_3GewneiXOoo3G4H,Woman,38,Middle School,Permanent,Yes,228,Strongly agree,No,Strongly Agree,Strongly disagree
R_1OZyTfPglSqWFQP,Woman,35,Middle School,Seasonal OR temporary,Yes,7,Strongly agree,No,Agree nor disagree,Refused
R_2S6nfNiGRofoiFp,Woman,39,Middle School,Permanent,No,60,Strongly agree,No,Strongly Agree,Strongly disagree
R_2dsERuf0hCRy4Ul,Man,34,Elementary School,Seasonal OR temporary,Yes,6,Strongly agree,No,Strongly Agree,Strongly disagree
R_3L6eAT2KPqdYHCB,Man,29,Elementary School,Seasonal OR temporary,Yes,2,Strongly agree,No,Strongly Agree,Strongly disagree
R_1GIg2vM3onjynjq,Man,57,Elementary School,Permanent,Yes,60,Strongly agree,No,Strongly Agree,Strongly disagree
R_2D7A8fWJhmavXWf,Woman,26,Elementary School,Permanent,Don't know,60,Strongly agree,No,Strongly Agree,Strongly disagree
R_1mqSl41ReJnESDv,Woman,30,Middle School,Permanent,Yes,96,Strongly agree,No,Somewhat agree,Strongly disagree
R_23efEjym5KTHPj3,Woman,22,High School,Permanent,Yes,19,Agree nor disagree,No,Somewhat agree,Agree nor disagree
R_11hjlqrJoog5LjO,Man,42,Elementary School,Permanent,Yes,156,Strongly agree,No,Strongly disagree,Somewhat agree
R_2bItdQe7O8rQXt8,Woman,22,High School,Permanent,Yes,36,Strongly agree,No,Strongly Agree,Strongly disagree
R_cCiiwnLU36ghT8J,Woman,30,Middle School,Permanent,Don't know,142,Somewhat disagree,No,Somewhat agree,Strongly disagree
R_3R7xputNZkAJIDP,Man,46,Middle School,Permanent,Yes,204,Strongly agree,No,Somewhat agree,Strongly disagree
R_Did9i8XWmt899pD,Woman,43,No school,Seasonal OR temporary,No,5,Strongly agree,No,Strongly Agree,Strongly disagree
R_5oS2yix9yUF0BhL,Man,32,High School,Permanent,Yes,96,Strongly agree,No,Strongly Agree,Agree nor disagree
R_2f39qoAT7PElzti,Woman,37,Middle School,Permanent,Yes,59,Somewhat agree,No,Somewhat agree,Somewhat agree
R_6D7MV5shG7RfrNL,Man,33,Middle School,Permanent,Yes,208,Strongly agree,No,Strongly Agree,Strongly disagree
R_SCaSqA3INSB6c6J,Woman,29,High School,Permanent,Yes,120,Strongly agree,No,Strongly Agree,Strongly disagree
R_yjyAKoeO3IoaOpH,Woman,27,High School,Permanent,Yes,24,Agree nor disagree,Yes,Strongly Agree,Strongly disagree
R_2ANkO9SWzNSna7W,Man,38,High School,Permanent,No,48,Strongly agree,No,Strongly Agree,Strongly disagree
R_2cBNOEp4fiQZz4h,Woman,24,College degree or higher,Seasonal OR temporary,Yes,3,Strongly agree,No,Somewhat agree,Strongly disagree
R_3rJwQ0XRy526hcX,Man,35,Middle School,Permanent,Yes,60,Strongly agree,No,Strongly Agree,Strongly disagree
R_sbuXu1FoSfpHtSh,Man,28,Middle School,Permanent,Yes,84,Strongly agree,No,Strongly Agree,Somewhat disagree
R_3iD6kedNkevKoRo,Man,27,College degree or higher,Permanent,Yes,6,Strongly agree,Yes,Strongly Agree,Somewhat agree
R_1IyhI9ZP9MTRHF0,Woman,35,Middle School,Permanent,Yes,162,Strongly agree,No,Strongly Agree,Strongly disagree
R_11hfMyRFYpkpQ8e,Man,23,Middle School,Seasonal OR temporary,Yes,9,Strongly agree,No,Strongly Agree,Strongly disagree
R_1nVp32NIFN7mvg7,Man,26,High School,Permanent,Yes,38,Strongly agree,No,Strongly Agree,Somewhat disagree
R_1mLDkdwF0PEPTmZ,Man,22,High School,Permanent,Yes,4,Strongly agree,Yes,Strongly Agree,Strongly disagree
R_b8SLxFhm68ADgnn,Man,39,Middle School,Permanent,Yes,18,Strongly agree,No,Strongly Agree,Strongly disagree
R_1JDEb7ZujHivuZq,Man,38,Middle School,Permanent,Yes,72,Strongly agree,No,Strongly Agree,Somewhat disagree
R_26kyjrwuLHSXAMY,Woman,39,Elementary School,Permanent,Yes,12,Strongly agree,Yes,Strongly Agree,Strongly disagree
R_Wlzt7JAlHNr4GgV,Woman,39,Middle School,Permanent,Yes,15,Strongly agree,No,Strongly Agree,Strongly disagree
R_20Sw7XZDBJt6ELD,Man,31,Middle School,Permanent,Yes,84,Strongly disagree,Yes,Somewhat agree,Strongly disagree
R_3Get0woHD52ftJC,Man,32,High School,Permanent,Yes,156,Strongly agree,No,Strongly Agree,Strongly disagree
R_4USQy9YAkoSiaLn,Woman,36,Middle School,Permanent,Don't know,12,Somewhat agree,Yes,Strongly Agree,Strongly disagree
R_2ROKTK0DygdLAzQ,Man,31,College degree or higher,Permanent,Yes,15,Strongly agree,No,Strongly disagree,Strongly disagree
R_1MKSNkkvD1XLVmU,Man,30,Middle School,Seasonal OR temporary,No,5,Strongly agree,No,Strongly Agree,Somewhat disagree
R_1jdggd9NtJbq9BF,Woman,32,Middle School,Permanent,Yes,62,Agree nor disagree,No,Somewhat agree,Strongly disagree
R_7WWQwNxySDKJx7z,Man,25,High School,Permanent,No,72,Somewhat disagree,No,Strongly Agree,Strongly disagree
R_21Bz2ZX7pgzKDN7,Woman,50,No school,Don't know,No,4,Strongly agree,No,Strongly Agree,Strongly disagree
R_1nNte9hCMSKvXpO,Man,35,College degree or higher,Permanent,Yes,7,Somewhat agree,Yes,Somewhat disagree,Strongly disagree
R_3RguWQGlYvd2vPm,Man,40,No school,Permanent,Yes,6,Strongly agree,No,Strongly Agree,Agree nor disagree
R_2CVNIpAiJMm5sRP,Woman,52,Middle School,Permanent,Yes,96,Strongly agree,No,Strongly Agree,Strongly disagree
R_YWefvTmeq4sMZSF,Man,32,College degree or higher,Permanent,Yes,156,Strongly agree,No,Strongly Agree,Agree nor disagree
R_d57yzulj4O5T4qZ,Man,29,High School,Permanent,Yes,72,Strongly agree,No,Strongly Agree,Strongly disagree
R_vc0CEZm1lh7PuuZ,Man,35,Middle School,Permanent,Yes,34,Strongly agree,No,Strongly Agree,Refused
R_2dfJ9QvZ8Ra7AN9,Woman,35,High School,Permanent,Yes,48,Strongly disagree,No,Strongly Agree,Somewhat agree
R_2PiY2BgDH1cwGNE,Man,20,Middle School,Permanent,Don't know,8,Strongly agree,No,Strongly Agree,Somewhat disagree
R_2y8TdeXpZFFnYsZ,Man,30,Middle School,Permanent,Don't know,120,Strongly agree,No,Somewhat agree,Strongly agree
R_1cTdwTMeegw1l8J,Man,34,Middle School,Permanent,Yes,11,Strongly agree,No,Strongly Agree,Strongly disagree
R_3nOZV1pM00TJxll,Man,34,High School,Permanent,Yes,84,Strongly disagree,Yes,Somewhat agree,Strongly agree
R_2QEfRdjbWF4oTIl,Man,39,Elementary School,Permanent,Yes,192,Strongly agree,No,Strongly Agree,Strongly disagree
R_2urrmz8peB8BeAn,Man,35,Middle School,Permanent,No,108,Strongly agree,No,Strongly Agree,Strongly disagree
R_s74pAjqVmTGvaTL,Man,26,High School,Permanent,Yes,5,Strongly agree,No,Strongly Agree,Strongly disagree
R_1OPhvtC2Sej02f4,Man,41,Middle School,Permanent,Yes,100,Strongly agree,No,Strongly Agree,Strongly disagree
R_PIkScisz4RTIhGh,Man,38,High School,Permanent,Yes,72,Strongly agree,No,Somewhat agree,Strongly disagree
R_1LtliCFQHkUJnKx,Man,26,High School,Permanent,Yes,83,Strongly agree,Yes,Somewhat agree,Strongly disagree
R_819N250znjC87m1,Man,34,High School,Permanent,Yes,24,Strongly agree,No,Strongly Agree,Strongly disagree
R_2t4Krf7thsT66yl,Man,24,High School,Permanent,Yes,12,Strongly agree,No,Strongly Agree,Strongly disagree
R_1EYYRVHpU10tcOR,Man,26,College degree or higher,Permanent,Yes,96,Strongly agree,No,Strongly Agree,Strongly disagree
R_21jPQPFLjOPrLQA,Woman,38,Middle School,Permanent,Yes,96,Somewhat agree,No,Strongly Agree,Strongly disagree
R_3dSXVA8zvv6LhUM,Woman,25,High School,Permanent,Yes,33,Strongly agree,No,Somewhat agree,Agree nor disagree
R_2wgxpLLJwkkX6QQ,Man,31,Middle School,Permanent,Yes,7,Strongly agree,No,Strongly Agree,Strongly disagree
R_1f9gWsLyAAMfR3g,Man,33,High School,Permanent,Yes,149,Somewhat agree,No,Strongly Agree,Somewhat agree
R_Wx3dOVYqARwQR3z,Woman,36,College degree or higher,Permanent,Yes,29,Strongly agree,No,Strongly Agree,Strongly disagree
R_3GpPrr3TKOZB2CI,Man,39,High School,Permanent,Yes,150,Strongly agree,No,Strongly Agree,Strongly disagree
R_2EzT4ZSdUEwKWgW,Woman,30,High School,Permanent,Yes,36,Strongly agree,No,Strongly Agree,Strongly disagree
R_3h0fs6YLAAwNaGJ,Woman,37,High School,Permanent,Yes,90,Strongly agree,No,Strongly Agree,Agree nor disagree
R_2ZKTQ9swwTC3OK0,Man,27,Middle School,Seasonal OR temporary,Yes,3,Strongly agree,No,Strongly Agree,Strongly disagree
R_sMwAIudgY7T8Mmd,Man,39,Elementary School,Permanent,Yes,216,Strongly agree,No,Strongly Agree,Strongly disagree
R_Uhc8SJMdkChYHMR,Man,44,Middle School,Permanent,Yes,78,Strongly agree,No,Strongly Agree,Strongly disagree
R_3lMsSFmuDYOeyAs,Woman,29,Middle School,Permanent,Yes,48,Strongly agree,No,Strongly Agree,Somewhat agree
R_vPGg6xwZQ3SMkWl,Man,58,No school,Permanent,Refused,169,Agree nor disagree,Yes,Strongly Agree,Somewhat disagree
R_3LX3gd6RgWBYAoa,Man,32,Middle School,Seasonal OR temporary,Yes,4,Strongly agree,No,Strongly Agree,Strongly disagree
R_3NTZPzcDVz9YWAV,Woman,37,College degree or higher,Permanent,Yes,72,Strongly agree,No,Strongly Agree,Somewhat agree
R_3plOqheK63y2ab8,Man,44,Elementary School,Seasonal OR temporary,Yes,2,Strongly agree,No,Strongly Agree,Strongly disagree
R_2sSgngY7b3H1E1n,Man,39,Middle School,Permanent,Yes,96,Strongly agree,No,Strongly Agree,Strongly disagree
R_20TosSBO1omcTMR,Woman,47,Elementary School,Permanent,Yes,48,Strongly agree,No,Strongly Agree,Strongly disagree
R_1HkIT6kTfzcHh16,Man,47,Middle School,Permanent,Yes,132,Strongly agree,No,Strongly Agree,Strongly disagree
R_WBQNCFmwoWzPN1n,Man,33,Middle School,Permanent,Yes,149,Strongly agree,No,Strongly Agree,Strongly disagree
R_3DqhPlyF5om9VM0,Man,32,High School,Permanent,Yes,108,Somewhat agree,Yes,Somewhat disagree,Strongly disagree
R_2coA3s3vdU1TCku,Man,30,High School,Permanent,Yes,156,Strongly agree,No,Strongly Agree,Strongly disagree
R_3phF3IGLcU2RmxT,Woman,32,Middle School,Seasonal OR temporary,Yes,5,Strongly agree,No,Strongly Agree,Strongly disagree
R_12PFKi74JKzRuGs,Woman,28,Middle School,Permanent,Yes,48,Somewhat agree,No,Strongly Agree,Strongly disagree
R_2qdQWPQKQocgOIo,Man,52,Middle School,Permanent,Yes,16,Strongly agree,No,Strongly Agree,Strongly disagree
R_12DSv6SBs0TO0RT,Man,50,Middle School,Permanent,Yes,135,Strongly agree,No,Strongly Agree,Somewhat agree
R_wS3tBF4WD81wFgt,Man,51,Middle School,Permanent,Yes,11,Strongly agree,No,Strongly Agree,Strongly disagree
R_3McjVEYv0rcgjtK,Man,36,High School,Permanent,Yes,96,Strongly agree,No,Agree nor disagree,Strongly disagree
R_2U0gVGGX4tuQwkT,Man,45,Middle School,Seasonal OR temporary,Yes,5,Strongly agree,No,Strongly Agree,Strongly disagree
R_bqNGS8zuhBptdF7,Man,26,High School,Permanent,Yes,79,Strongly agree,No,Somewhat agree,Strongly disagree
R_3EnyU4d5JhyDBLo,Man,51,Middle School,Permanent,Yes,96,Strongly agree,No,Strongly Agree,Strongly disagree
R_Wie5KRc2IEbvbLH,Man,31,Middle School,Permanent,Yes,144,Strongly agree,No,Strongly Agree,Strongly disagree
R_3nfvVF8qIZnbdc2,Woman,26,High School,Permanent,Yes,60,Somewhat agree,No,Strongly Agree,Strongly disagree
R_2cC7Yblc7OlCFYc,Man,42,Elementary School,Permanent,Yes,144,Strongly agree,Yes,Strongly Agree,Strongly disagree
R_qw5W72gaSRqpu13,Man,30,Middle School,Permanent,Yes,13,Strongly agree,No,Strongly Agree,Strongly disagree
R_1kSmE3Y0SCTVZ3t,Man,24,High School,Permanent,Yes,60,Strongly agree,No,Strongly disagree,Strongly disagree
R_2XoYW0KjG2DvUNb,Woman,29,High School,Permanent,Yes,101,Somewhat agree,Yes,Strongly Agree,Somewhat agree
R_22EK6xa7nwQcgMX,Woman,27,Middle School,Permanent,Yes,9,Strongly agree,No,Strongly Agree,Strongly disagree
R_3PuxnN0pA3BqTyo,Man,31,College degree or higher,Permanent,Yes,60,Strongly agree,No,Strongly Agree,Strongly disagree
R_3MrIvMvmwdVd5oO,Man,32,College degree or higher,Permanent,Don't know,84,Strongly agree,No,Somewhat agree,Strongly disagree
R_2U0cEvOUXpHoOjE,Woman,54,High School,Permanent,Yes,84,Strongly agree,No,Strongly Agree,Strongly disagree
R_qIWJO5EJajTE1vr,Woman,30,Middle School,Permanent,Yes,36,Agree nor disagree,No,Agree nor disagree,Agree nor disagree
R_1JW8zVALD099Tmg,Woman,29,Middle School,Seasonal OR temporary,Yes,5,Strongly agree,No,Strongly Agree,Strongly disagree
R_ewYp4wKDGyE46dj,Other,29,High School,Permanent,Yes,96,Somewhat agree,No,Strongly Agree,Strongly disagree
R_yCISwZY7kw6GliN,Man,31,Middle School,Seasonal OR temporary,Yes,3,Strongly agree,No,Strongly Agree,Somewhat disagree
R_1M4IJHPmkHTYQlB,Man,21,High School,Seasonal OR temporary,Yes,4,Strongly agree,No,Strongly Agree,Strongly agree
R_268fBULtforBNwB,Woman,29,High School,Seasonal OR temporary,Yes,0,Strongly agree,No,Strongly Agree,Strongly disagree
R_1EhNJLkVDzF8nz4,Man,24,College degree or higher,Seasonal OR temporary,Yes,5,Strongly agree,No,Strongly Agree,Strongly disagree
R_3F1WhXn9OWjbfqb,Woman,20,High School,Permanent,Yes,12,Strongly agree,No,Somewhat agree,Strongly agree
R_3rH9tTTTd2wsEZR,Man,39,Middle School,Permanent,Yes,63,Strongly agree,No,Strongly Agree,Strongly agree
R_9M4KIhL7Q9FFpux,Woman,44,High School,Permanent,Yes,48,Somewhat agree,No,Agree nor disagree,Strongly disagree
R_3O8iZRgroPX7fqj,Man,46,High School,Seasonal OR temporary,Yes,4,Somewhat disagree,Yes,Somewhat disagree,Strongly agree
R_3ffVskYju1AMaEK,Man,45,Middle School,Permanent,Yes,99,Somewhat agree,No,Strongly Agree,Somewhat disagree
R_3qwbUAOTHwbgzsZ,Woman,45,High School,Permanent,Yes,84,Somewhat disagree,No,Strongly Agree,Somewhat agree
R_1Gw6BaOQrjSYoW8,Man,34,Middle School,Permanent,Yes,72,Strongly agree,No,Strongly Agree,Strongly disagree
R_1jk2ZRb4CIzRTpQ,Man,37,Middle School,Seasonal OR temporary,Yes,203,Strongly agree,No,Strongly Agree,Strongly disagree
R_2sU2mZBD8vf0eJ1,Man,36,High School,Permanent,Yes,21,Strongly agree,No,Somewhat agree,Strongly disagree
R_2v2EazsEVBCHjZC,Man,28,High School,Permanent,Yes,120,Strongly agree,No,Strongly Agree,Strongly disagree
R_CgDqd7lq8oeRdVT,Woman,35,Middle School,Permanent,Yes,72,Strongly agree,No,Strongly Agree,Strongly disagree
R_26luH3m0Ys5COSq,Woman,27,Middle School,Permanent,Yes,18,Strongly agree,No,Somewhat agree,Strongly disagree
R_esvxg1T8DLFLDfX,Man,40,Middle School,Permanent,Yes,70,Strongly agree,No,Strongly Agree,Strongly disagree
R_2bQ2CcAziQ7R6mI,Man,43,Middle School,Permanent,Yes,156,Strongly agree,No,Strongly Agree,Strongly disagree
R_2pK6nI1SKv16Y4S,Man,34,High School,Permanent,Yes,60,Strongly agree,No,Strongly Agree,Strongly disagree
R_1CwnmA0ua2wdJlS,Man,40,Middle School,Permanent,Yes,144,Strongly disagree,No,Strongly disagree,Strongly agree
R_3L0Go4tgqaDrEhF,Woman,32,High School,Permanent,Yes,4,Somewhat agree,No,Strongly Agree,Strongly disagree
R_3oSXmTTNJJM4nE6,Woman,34,Middle School,Seasonal OR temporary,No,4,Strongly agree,No,Strongly Agree,Strongly disagree
R_1gkcx875vUbXRyQ,Woman,22,High School,Permanent,Yes,24,Strongly agree,No,Strongly disagree,Strongly disagree
R_31ATVy1uaccbZ1t,Woman,25,Middle School,Seasonal OR temporary,Yes,4,Strongly agree,No,Strongly Agree,Strongly disagree
R_3I6rmeE5tqKxr3V,Woman,52,Middle School,Permanent,Yes,60,Strongly agree,No,Strongly Agree,Strongly disagree
R_3iPRNXu2x3EMc4i,Woman,37,Elementary School,Permanent,Yes,180,Strongly agree,No,Strongly Agree,Strongly disagree
R_2ovED5mMcS2Yvip,Woman,27,High School,Permanent,Yes,64,Somewhat agree,No,Somewhat agree,Agree nor disagree
R_XuqY1EehqVPhbQB,Woman,49,Middle School,Permanent,Yes,156,Agree nor disagree,No,Somewhat agree,Agree nor disagree
R_1LOPPO5FeKf38gY,Woman,37,Middle School,Permanent,Yes,168,Strongly agree,No,Strongly Agree,Strongly disagree
R_ue5Zx9sjDdysBcl,Woman,35,Elementary School,Permanent,Yes,36,Strongly agree,No,Strongly Agree,Strongly disagree
R_DI5e0ahKlMy7Qel,Woman,42,Elementary School,Permanent,Yes,180,Strongly agree,No,Strongly Agree,Agree nor disagree
R_qUwWFiC3YubMwRH,Woman,24,High School,Permanent,Yes,63,Somewhat agree,No,Strongly Agree,Somewhat agree
R_27k5oe5oGV363xA,Woman,38,High School,Permanent,Yes,144,Strongly agree,No,Strongly Agree,Strongly disagree
R_W2vmSG55huxnO1j,Man,33,High School,Permanent,Yes,60,Strongly agree,No,Strongly Agree,Strongly disagree
R_3Ia6ZNDMLuEjP7E,Woman,35,High School,Permanent,Yes,192,Somewhat agree,No,Somewhat agree,Strongly disagree
R_1H7gDDerGQGGKv8,Woman,26,Middle School,Permanent,Yes,28,Strongly agree,No,Strongly Agree,Strongly disagree
R_3O2KUZPmVugakd0,Woman,52,Middle School,Permanent,Yes,60,Strongly agree,No,Strongly Agree,Strongly disagree
R_4ZUS21yKreIzDG1,Woman,26,High School,Permanent,Yes,47,Strongly agree,No,Strongly Agree,Strongly disagree
R_1JPgfEMZeBDunra,Man,48,Middle School,Permanent,Yes,48,Strongly agree,No,Strongly Agree,Strongly disagree
R_3nSnqUb1DAaOswX,Woman,29,High School,Permanent,Yes,72,Strongly agree,No,Strongly Agree,Strongly disagree
R_cOnyhWU945Yd4Wt,Woman,36,Middle School,Permanent,Yes,23,Strongly agree,No,Strongly Agree,Strongly disagree
R_27JBMpH13hSlQfi,Man,33,Middle School,Permanent,Yes,60,Strongly agree,No,Agree nor disagree,Strongly disagree
R_2Byx9yIKjTs9ycg,Man,33,Middle School,Permanent,Yes,48,Strongly agree,No,Strongly Agree,Strongly disagree
R_2cjB0jykqAMFMCs,Woman,44,Middle School,Permanent,Yes,27,Strongly agree,No,Strongly Agree,Strongly disagree
R_2v38EDuz9RfeQFf,Woman,35,Elementary School,Permanent,Yes,203,Strongly agree,No,Strongly Agree,Refused
R_1LBx3jBz7cUvQ2i,Man,34,College degree or higher,Permanent,Yes,60,Strongly disagree,No,Strongly Agree,Strongly disagree
R_9RKABP0KYu3iHZv,Woman,40,High School,Permanent,Yes,82,Strongly agree,No,Strongly Agree,Strongly disagree
R_2PvdedLv8OHJwxZ,Man,50,Middle School,Permanent,Yes,48,Strongly agree,No,Strongly Agree,Strongly disagree
R_2VrNyOh5T6QK0bE,Woman,31,High School,Seasonal OR temporary,Yes,3,Strongly agree,No,Strongly Agree,Strongly disagree
R_1gvxYmyOif0ljE5,Woman,28,Middle School,Permanent,Yes,51,Strongly agree,No,Strongly Agree,Strongly disagree
R_2ByrsQFOBxykVft,Woman,31,Elementary School,Permanent,Yes,68,Strongly agree,No,Somewhat agree,Strongly disagree
R_Pzni16ybVICdnR7,Woman,37,Middle School,Permanent,Yes,65,Strongly agree,No,Strongly Agree,Strongly disagree
R_1kSIQxc00Ksu2bL,Man,58,Elementary School,Permanent,Yes,180,Strongly agree,No,Strongly Agree,Strongly disagree
R_30q8ZeTmBFicO2f,Man,27,High School,Permanent,Yes,10,Strongly agree,No,Strongly Agree,Strongly disagree
R_szNDWls6vBXrdu1,Woman,43,College degree or higher,Permanent,Yes,60,Strongly agree,Yes,Strongly Agree,Strongly disagree
R_BCWmy4vX7bS3VGV,Woman,51,High School,Permanent,Yes,72,Strongly agree,No,Strongly Agree,Strongly disagree
R_1eKbe2zKStpeYwM,Woman,54,High School,Permanent,Yes,54,Strongly agree,No,Somewhat agree,Strongly disagree
R_DtJoN77Wyl6pOBX,Man,21,High School,Permanent,Yes,8,Strongly agree,No,Strongly Agree,Strongly disagree
R_233QqsFN9lpQqbp,Woman,31,High School,Permanent,Yes,96,Strongly agree,No,Agree nor disagree,Strongly disagree
R_2frJNIlvrQjh7W6,Woman,39,Middle School,Permanent,Don't know,204,Somewhat agree,No,Strongly Agree,Strongly disagree
R_r9czY7onkKN17vb,Man,42,College degree or higher,Permanent,Yes,54,Strongly agree,No,Strongly disagree,Strongly disagree
R_2Tve8T8RXJP4Nix,Man,43,High School,Permanent,Yes,71,Strongly agree,No,Strongly Agree,Strongly disagree
R_2Tz6gWjMfxYxtPd,Man,27,Elementary School,Permanent,Yes,19,Strongly agree,No,Strongly Agree,Strongly disagree
R_tQYE49c4UzzUUmJ,Woman,43,High School,Seasonal OR temporary,Yes,3,Strongly agree,No,Strongly Agree,Strongly disagree
R_3PpKklvHANXjoC6,Man,30,Middle School,Permanent,Yes,72,Strongly agree,No,Agree nor disagree,Strongly disagree
R_1jNiE0pvcwouPQG,Woman,38,Middle School,Seasonal OR temporary,Yes,2,Strongly agree,No,Strongly Agree,Strongly disagree
R_31zvnOxuGu6bhD7,Man,29,Middle School,Permanent,Yes,66,Strongly agree,No,Strongly Agree,Strongly disagree
R_t0fk81vL8h3hDZ7,Man,26,High School,Seasonal OR temporary,Yes,2,Strongly agree,No,Strongly Agree,Strongly agree
R_24MgHNxGQ2zG4zW,Man,22,Middle School,Seasonal OR temporary,No,2,Strongly agree,No,Somewhat agree,Agree nor disagree
R_3hruCyiFIgaH0JO,Woman,19,High School,Permanent,Yes,3,Strongly agree,No,Strongly Agree,Strongly disagree
R_3HXn7HIvozXTDDt,Woman,22,High School,Seasonal OR temporary,Yes,3,Strongly agree,No,Somewhat agree,Strongly disagree
R_1LpuVuzecZmZ1gs,Woman,37,High School,Permanent,Yes,60,Strongly agree,No,Somewhat agree,Refused
R_2P0B5QLximm47xK,Man,61,Middle School,Permanent,Don't know,60,Somewhat agree,No,Somewhat agree,Strongly disagree
R_3IctrciR7ptrf74,Man,38,Middle School,Permanent,Yes,144,Strongly agree,No,Somewhat agree,Strongly disagree
R_3oAOavICrkp2ZAy,Woman,21,High School,Seasonal OR temporary,Yes,8,Agree nor disagree,No,Strongly Agree,Agree nor disagree
R_2qdvdRPQDJoM1a6,Man,30,Middle School,Seasonal OR temporary,Yes,10,Strongly agree,No,Strongly Agree,Strongly disagree
R_2fx39lbGrdsAn4v,Man,21,High School,Permanent,Yes,17,Strongly agree,No,Strongly Agree,Strongly disagree
R_2ieXxs5qTp7OCGJ,Woman,26,Middle School,Permanent,Don't know,14,Strongly agree,No,Strongly Agree,Strongly disagree
R_3gZUH4QcQ8H6FMs,Woman,19,High School,Permanent,Yes,3,Strongly agree,No,Strongly Agree,Agree nor disagree
R_SISkFle0DduFHt7,Man,37,High School,Permanent,Yes,60,Somewhat agree,No,Strongly Agree,Strongly disagree
R_21Bp90WNyoi85k4,Man,23,High School,Seasonal OR temporary,Yes,9,Strongly agree,No,Somewhat agree,Strongly disagree
R_DOycHaWv8xA6RxL,Woman,23,High School,Seasonal OR temporary,Yes,2,Strongly agree,No,Strongly Agree,Strongly disagree
R_2qqp9fDFgCfV0Mm,Woman,55,Elementary School,Permanent,Yes,158,Strongly agree,No,Strongly Agree,Strongly disagree
R_1F5PYmegoslxr3Q,Man,45,Elementary School,Permanent,Yes,144,Strongly agree,No,Somewhat agree,Strongly disagree
R_338yRpNrm4RT8Qg,Woman,32,College degree or higher,Permanent,Yes,50,Strongly agree,No,Somewhat agree,Somewhat agree
R_1EYjRuqpjCHiqzk,Man,33,High School,Permanent,Yes,96,Somewhat agree,No,Somewhat agree,Strongly disagree
R_2rlaBg3fAplkL6Z,Woman,41,Elementary School,Permanent,Yes,72,Strongly agree,No,Strongly Agree,Strongly disagree
R_1M67bIYxIfLCk3Q,Man,25,High School,Seasonal OR temporary,Yes,2,Strongly agree,No,Strongly Agree,Strongly disagree
R_UFLtndfE3BfMSkN,Man,40,No school,Permanent,Yes,198,Strongly agree,No,Strongly Agree,Strongly disagree
R_24pAwJ2uKwKSGeA,Woman,35,Middle School,Permanent,Yes,63,Agree nor disagree,No,Strongly Agree,Strongly agree
R_DTd4xTcv14BP1D3,Woman,50,Elementary School,Permanent,Yes,27,Strongly agree,No,Somewhat agree,Refused
R_pRXPTLkrga2RthD,Man,33,Middle School,Permanent,Yes,10,Strongly agree,No,Somewhat agree,Strongly disagree
R_3JLgSH7751cSKMX,Man,34,High School,Permanent,Yes,192,Strongly agree,No,Strongly Agree,Strongly disagree
R_3EA0y5SIab3iS6e,Woman,30,Elementary School,Permanent,Yes,48,Strongly agree,No,Strongly Agree,Strongly disagree
R_3CPEqITsB1I26FQ,Man,33,Middle School,Permanent,Yes,110,Strongly agree,No,Strongly Agree,Strongly disagree
R_2BnRYaJe1gAPHY6,Woman,44,Middle School,Permanent,Yes,16,Strongly agree,No,Strongly Agree,Strongly disagree
R_3QLzyV8ekeonpsM,Man,23,High School,Seasonal OR temporary,Yes,5,Strongly agree,No,Strongly Agree,Strongly disagree
R_3lsidMIjrSP4jNL,Man,21,Middle School,Seasonal OR temporary,Yes,4,Strongly agree,No,Strongly Agree,Strongly disagree
R_24AfXgRHpx88325,Man,28,High School,Permanent,Yes,108,Strongly agree,No,Strongly Agree,Strongly disagree
R_WqxBfKsa9OF4Plv,Man,26,Middle School,Permanent,Yes,72,Strongly agree,No,Strongly Agree,Strongly disagree
R_3eeO0mQbnZBSa7h,Woman,39,High School,Don't know,Yes,5,Strongly agree,No,Agree nor disagree,Strongly disagree
R_3MrRwejrREccyuC,Woman,45,Elementary School,Permanent,Yes,61,Somewhat agree,No,Strongly Agree,Strongly disagree
R_3NKz83kD0idDaJY,Woman,34,High School,Permanent,Yes,15,Strongly agree,No,Strongly Agree,Strongly disagree
R_2DRCtSG2G5UqMwz,Man,44,Middle School,Permanent,Yes,60,Strongly agree,No,Strongly Agree,Strongly disagree
R_29djcnEDZABDd0Y,Woman,25,High School,Permanent,Yes,4,Strongly agree,No,Strongly Agree,Strongly disagree
R_3NP5t3m0e1AftaH,Man,25,Elementary School,Permanent,Yes,3,Strongly agree,No,Strongly Agree,Strongly disagree
R_qUsyYqAjCz13Au5,Woman,34,Middle School,Permanent,Yes,192,Strongly agree,No,Strongly Agree,Strongly disagree
R_2Se1rYephIbqOXX,Man,31,Middle School,Permanent,Yes,12,Strongly agree,No,Somewhat agree,Strongly disagree
R_3fq3NXZClMk61U5,Woman,25,College degree or higher,Permanent,Yes,12,Somewhat agree,No,Agree nor disagree,Agree nor disagree
R_1OBU3fFXeT9hWEw,Woman,31,High School,Permanent,Yes,51,Strongly agree,No,Strongly Agree,Strongly disagree
R_1N4uHPVtR0llgcD,Woman,42,High School,Permanent,Yes,72,Strongly agree,No,Strongly Agree,Strongly disagree
