Response_ID,gender_core,age_core,education_level_core,worker_type_core,understand_contract,entity_tenure_total_months,safety_core,accident_last_year,covid_safety_measures_core,pressure_to_work_core
R_3syvz34lncNru1l,Woman,25,High School,Permanent,Yes,12,Agree nor disagree,No,Strongly Agree,Strongly disagree
R_A4ActswGkmrRBDz,Woman,37,No school,Permanent,Yes,36,Strongly agree,No,Strongly Agree,Strongly disagree
R_1IblsT9Qi5EXdMB,Woman,31,Middle School,Permanent,Yes,36,Strongly agree,No,Strongly Agree,Strongly disagree
R_2uDq7TUh2EaXOF3,Woman,22,High School,Permanent,Yes,36,Strongly agree,No,Strongly Agree,Strongly disagree
R_31ZePKoH4rD213q,Woman,30,Middle School,Permanent,Yes,60,Strongly agree,No,Strongly Agree,Strongly disagree
R_3ek3EmFHMhTiivc,Woman,33,Elementary School,Permanent,Yes,63,Somewhat disagree,No,Strongly Agree,Strongly disagree
R_1rDH85aZWkXP7qT,Man,25,High School,Permanent,Yes,24,Strongly agree,No,Strongly Agree,Strongly disagree
R_21okY5mXQUM38NQ,Woman,30,Middle School,Permanent,Yes,48,Strongly agree,No,Strongly Agree,Strongly disagree
R_2WZvi79vnBx2Q41,Man,30,No school,Permanent,Yes,69,Strongly agree,No,Strongly Agree,Strongly agree
R_3IQyKcranMP7vA9,Woman,32,Middle School,Permanent,Yes,8,Strongly agree,No,Strongly Agree,Strongly disagree
R_cOWKkzILsOHPxiV,Woman,20,High School,Seasonal OR temporary,Yes,15,Somewhat agree,No,Strongly Agree,Strongly disagree
R_296LKsIxOwSj9cN,Woman,37,Middle School,Permanent,Yes,24,Strongly agree,No,Strongly Agree,Strongly agree
R_1LckwOa3KDfPmHu,Man,41,Middle School,Seasonal OR temporary,Yes,30,Strongly agree,No,Strongly Agree,Strongly disagree
R_114u7A8KAwzLCEm,Woman,50,Middle School,Permanent,Yes,35,Strongly agree,No,Strongly Agree,Strongly disagree
R_8Iy7hxGXRkGEluV,Woman,48,Elementary School,Permanent,Yes,15,Strongly agree,No,Strongly Agree,Strongly disagree
R_3L1fp5BrnlSzBwR,Man,21,Middle School,Permanent,Yes,12,Strongly agree,No,Strongly Agree,Strongly disagree
R_29htgDRlyznCRhr,Man,26,High School,Seasonal OR temporary,Yes,3,Strongly agree,No,Strongly Agree,Strongly disagree
R_3elCEjWGTetp2hh,Man,26,Middle School,Permanent,Yes,4,Somewhat agree,No,Strongly Agree,Refused
R_1fdOdSyjg1WUstK,Woman,26,Middle School,Permanent,Yes,36,Somewhat agree,No,Strongly Agree,Strongly disagree
R_2eQYL2Zh3K7YEa2,Woman,51,Middle School,Permanent,Yes,27,Strongly agree,No,Strongly Agree,Strongly disagree
R_1iep9GIv8b9P6um,Woman,47,Elementary School,Permanent,Yes,10,Strongly agree,No,Strongly Agree,Strongly disagree
R_29cTU5tt5Ju5Gu8,Woman,55,Middle School,Permanent,Yes,36,Strongly agree,No,Strongly Agree,Strongly disagree
R_3PaBJ2fUBpZS2hI,Man,31,Elementary School,Seasonal OR temporary,Yes,7,Somewhat agree,No,Strongly Agree,Strongly disagree
R_Q4gMoR8DlQrFXIR,Man,25,Middle School,Permanent,Yes,5,Somewhat agree,No,Strongly Agree,Strongly disagree
R_07JbBXwvBB9x5zX,Man,27,Elementary School,Permanent,Yes,66,Strongly agree,No,Strongly Agree,Strongly disagree
R_1mmFtXZh6e4kR8M,Man,19,High School,Seasonal OR temporary,Yes,5,Strongly agree,Yes,Somewhat agree,Agree nor disagree
R_10UdSiXnpDVvk0k,Man,32,Middle School,Seasonal OR temporary,Yes,10,Somewhat agree,No,Somewhat agree,Strongly disagree
R_T14JVxVY3hLzv69,Man,58,Elementary School,Permanent,Yes,8,Strongly agree,Yes,Strongly Agree,Strongly disagree
R_2uDtLS9tUBZKYGS,Man,34,Middle School,Seasonal OR temporary,No,1,Somewhat disagree,No,Agree nor disagree,Strongly disagree
R_1kLnQc6FmDlkbi0,Woman,52,No school,Permanent,Don't know,123,Strongly agree,No,Strongly Agree,Strongly disagree
R_27WOv1vhaeqpxeT,Man,26,Elementary School,Permanent,Yes,16,Strongly agree,No,Strongly Agree,Strongly disagree
R_2s7PbjY2OmwP1zK,Man,34,Middle School,Permanent,No,8,Agree nor disagree,No,Somewhat agree,Strongly disagree
R_2PAugWfX3Juh16h,Woman,38,Elementary School,Permanent,Yes,74,Strongly agree,No,Strongly Agree,Strongly disagree
R_3Q0nLxXCk4spCAs,Man,29,Middle School,Don't know,Yes,2,Somewhat agree,No,Strongly Agree,Strongly disagree
R_10YruvEVjshLta7,Man,50,Elementary School,Permanent,Yes,48,Strongly agree,No,Strongly Agree,Strongly disagree
R_ylrV1zju2qV6y9r,Man,44,Middle School,Seasonal OR temporary,No,24,Somewhat disagree,No,Strongly disagree,Strongly agree
