Response_ID,gender_core,age_core,education_level_core,worker_type_core,understand_contract,entity_tenure_total_months,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,management_complaint_treatment_core,leadership_feedback_core,factory_recommend_tf_score
R_mjniFQZ4gPzDMEK,Man,38,Elementary School,Permanent,Yes,60,Very dissatisfied,Yes,No,Somewhat bad,Strongly agree,No,Strongly Agree,Yes,Somewhat agree,Yes,No,0
R_6XwitTjyIfZourh,Man,20,High School,Permanent,Yes,24,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Strongly agree,Yes,Agree nor disagree,Yes,Strongly disagree,Yes,Yes,1
R_lDbIh1Hp005jpba,Man,21,High School,Permanent,Yes,3,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2P00b0wjJQdLDzp,Man,45,Elementary School,Permanent,Yes,18,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_0TVZsmLZ7EHJk9u,Man,52,Elementary School,Permanent,Yes,144,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_ep5R46zuoQJ3NqA,Man,20,High School,Permanent,Yes,12,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,No,Agree nor disagree,No,Yes,0
R_0q45HkPISFGWtQN,Woman,56,Middle School,Permanent,Yes,38,Very satisfied,Yes,No,Very good,Somewhat agree,No,Refused,Yes,Somewhat disagree,"Maybe, depending on the topic",No,1
R_mYbHiuG0nr92IGE,Woman,22,High School,Permanent,Yes,8,Very satisfied,Yes,No,Very good,Strongly agree,No,Agree nor disagree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_h80alqFBORgZ2sJ,Woman,28,Middle School,Permanent,Yes,9,Somewhat Satisfied,Yes,Yes,Somewhat good,Agree nor disagree,No,Somewhat disagree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_6Gwko4BbM5zHMz9,Woman,23,High School,Permanent,Yes,27,Neither satisfied nor dissatisfied,Yes,No,Somewhat good,Agree nor disagree,No,Strongly disagree,Don't know,Somewhat disagree,"Maybe, depending on the topic",Yes,1
R_5YDCYsfvFmnc6mt,Woman,62,No school,Permanent,Yes,51,Very satisfied,Yes,Don't know,Neither good or bad,Agree nor disagree,Yes,Strongly disagree,Yes,Strongly disagree,Yes,Yes,1
R_oap78D8bLm7dwBw,Woman,45,Middle School,Permanent,Yes,16,Neither satisfied nor dissatisfied,No,No,Neither good or bad,Agree nor disagree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",Don't know,1
R_eTTPAv2VNvxXxO7,Woman,49,Middle School,Permanent,Yes,120,Very satisfied,Yes,No,Very good,Strongly agree,Yes,Somewhat agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_j8GyaA0BsJgpRMx,Woman,53,No school,Permanent,Yes,19,Very satisfied,Yes,Don't know,Neither good or bad,Somewhat disagree,No,Refused,Don't know,Somewhat disagree,"Maybe, depending on the topic",No,1
R_48mPGFEt25HqCob,Man,34,High School,Permanent,Yes,117,Very satisfied,Yes,No,Very good,Strongly agree,No,Somewhat agree,Yes,Agree nor disagree,"Maybe, depending on the topic",No,1
R_eR6K8Nyd4x1zwgW,Woman,45,Middle School,Permanent,Yes,29,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Don't know,Somewhat disagree,"Maybe, depending on the topic",No,1
R_mmTQkXS5o9QNmdN,Woman,23,High School,Permanent,Yes,48,Neither satisfied nor dissatisfied,Yes,Don't know,Neither good or bad,Strongly agree,No,Agree nor disagree,Yes,Strongly agree,"Maybe, depending on the topic",No,1
R_2B59hdsf8sE0MKR,Woman,22,High School,Permanent,Yes,11,Very dissatisfied,No,No,Neither good or bad,Strongly disagree,No,Strongly disagree,Yes,Strongly agree,No,Yes,1
R_iyLodjE30XIwRgz,Woman,36,Elementary School,Permanent,Yes,12,Very satisfied,Yes,No,Neither good or bad,Agree nor disagree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_mm6IlWGqkbCe1FA,Woman,46,No school,Permanent,Yes,7,Neither satisfied nor dissatisfied,No,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_5VoO5xpFP88cvXY,Woman,34,No school,Permanent,Yes,11,Somewhat Satisfied,Yes,No,Neither good or bad,Somewhat agree,No,Agree nor disagree,Yes,Somewhat agree,"Maybe, depending on the topic",No,0
R_gs9qBd2bvxYMdse,Woman,44,Middle School,Permanent,Yes,96,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",Yes,1
R_6zLMBtw78h8suGT,Woman,22,High School,Permanent,Yes,60,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_7pIZlf9dayOls78,Woman,22,Middle School,Permanent,Yes,11,Somewhat Satisfied,Yes,No,Somewhat good,Somewhat agree,No,Agree nor disagree,Yes,Somewhat agree,"Maybe, depending on the topic",No,1
R_dNHoruHiNYPcePu,Woman,38,High School,Permanent,No,19,Very dissatisfied,No,No,Somewhat good,Somewhat disagree,Yes,Somewhat disagree,No,Strongly agree,No,Yes,0
R_oK1BCIr9h9oCQ3T,Woman,34,No school,Permanent,Yes,10,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Refused,Yes,Somewhat agree,"Maybe, depending on the topic",No,0
R_j6E6H0VZTMQGEby,Man,25,Middle School,Permanent,Yes,30,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Strongly agree,Yes,Strongly Agree,No,Strongly agree,No,No,1
R_k2gBwTsQQElG2sP,Man,42,Elementary School,Permanent,Yes,108,Neither satisfied nor dissatisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,No,Strongly disagree,Yes,No,0
R_bumQQaJchj2cn7R,Man,62,No school,Permanent,Yes,26,Very satisfied,Yes,No,Very good,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_869iMUV5IsG03GQ,Man,35,Middle School,Permanent,Don't know,18,Very dissatisfied,No,No,Very bad,Strongly agree,No,Somewhat disagree,No,Strongly agree,No,Yes,0
R_is5abRBShO32ZT7,Man,28,High School,Permanent,Yes,96,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,Yes,No,1
R_iwR6sjbvzXEtlgr,Man,29,Elementary School,Permanent,Yes,24,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Agree nor disagree,Don't know,Strongly disagree,Yes,No,1
R_mmrcNDMVigdlBiu,Man,29,High School,Permanent,Yes,108,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Agree nor disagree,Yes,Strongly disagree,Yes,No,1
R_l7uopKPCgfbITHI,Man,25,Middle School,Permanent,Yes,24,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_cuEr2HohRuKB8Tg,Man,18,Middle School,Permanent,Yes,4,Very satisfied,Yes,Yes,Neither good or bad,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,No,No,0
R_mPYBU5vm8ZqCZcH,Man,28,College degree or higher,Permanent,Yes,60,Somewhat Satisfied,Don't know,Yes,Somewhat good,Strongly agree,No,Strongly disagree,Don't know,Strongly disagree,Yes,Yes,1
R_nUthHTMn9FiuAKD,Man,29,High School,Permanent,Yes,18,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,Yes,No,1
R_o59rfe3aFs45dl1,Man,24,High School,Permanent,Yes,17,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_2cVzT60f73MlzK6,Man,41,Middle School,Permanent,Yes,15,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_dQtiV6CY3RQHc6x,Man,53,No school,Permanent,Yes,35,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,No,No,1
R_kM8mHx5EOsAhk99,Man,28,Middle School,Permanent,Yes,36,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Somewhat agree,Don't know,Strongly disagree,Yes,No,1
R_bGwdMzaEipdqfNR,Man,41,Middle School,Permanent,Yes,108,Somewhat Satisfied,Don't know,No,Somewhat good,Somewhat disagree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_4j7yVp5g5BeoyfD,Man,35,Middle School,Permanent,Yes,14,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly disagree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_3kS1UXM1JCfC5iy,Man,23,High School,Permanent,Yes,8,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,Yes,1
R_19mlyW7A14Hj9iA,Man,34,Middle School,Permanent,Yes,72,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly disagree,Yes,Strongly disagree,Yes,No,1
R_jggzElt1ntGwZrt,Man,53,Middle School,Permanent,Yes,20,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Somewhat agree,Don't know,Agree nor disagree,"Maybe, depending on the topic",Yes,1
R_1gMaqZxGwRT3GOG,Man,32,High School,Permanent,Yes,132,Very satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3CxvVX2EGAk6y3v,Man,26,Middle School,Permanent,Yes,72,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_z8tdiGTlcFHz8ul,Man,23,College degree or higher,Seasonal OR temporary,Yes,3,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_2pSNig06167iRHp,Man,26,Middle School,Permanent,Yes,24,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_24tU7DQJ7LmpT1F,Man,35,High School,Permanent,Yes,12,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_1q58W3WNJz5bv1F,Man,33,High School,Permanent,Yes,60,Somewhat Satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_zfkrKOjnnSC4EJH,Man,30,High School,Permanent,Yes,134,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly agree,Yes,No,1
R_1qadrn2x9B7X7pf,Man,29,College degree or higher,Permanent,Yes,60,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2s4lU9Xxo88IWQQ,Man,52,Middle School,Permanent,Yes,132,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_24NsrdEWd1PKBVX,Man,49,Middle School,Permanent,Yes,12,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3m9wYYI4jLQz2hl,Man,25,High School,Permanent,Yes,60,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_1dNBGyQwhKl6mtc,Woman,48,Middle School,Permanent,Don't know,48,Somewhat Satisfied,Don't know,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Somewhat agree,Yes,Yes,0
R_0Ol1Qr8xyW2mOD7,Woman,29,High School,Permanent,Yes,132,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Somewhat agree,Yes,No,1
R_retIEmaKW4vjlEl,Man,36,High School,Permanent,Yes,156,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_YbJjooltRztWu2t,Man,19,High School,Seasonal OR temporary,Yes,6,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly agree,Yes,No,1
R_1f1tjMOwXNoWTwl,Man,32,High School,Permanent,Yes,46,Somewhat Satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Agree nor disagree,Yes,Somewhat disagree,"Maybe, depending on the topic",Yes,1
R_242DQaPvhh9B386,Man,45,Middle School,Permanent,Yes,168,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Somewhat agree,Don't know,No,1
R_1IJXlQdEXxcBVcm,Woman,36,High School,Seasonal OR temporary,Yes,6,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3rGUWvDlKstwwtj,Woman,34,Elementary School,Seasonal OR temporary,Yes,3,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3g4S8EnRP7p9jjW,Man,28,High School,Permanent,Yes,92,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Agree nor disagree,"Maybe, depending on the topic",Don't know,1
R_3hsVuTfvDlFxZdP,Man,39,Middle School,Permanent,Yes,156,Somewhat Satisfied,Yes,Yes,Very good,Strongly disagree,No,Strongly Agree,Yes,Strongly disagree,Yes,Yes,1
R_28BpZTGfgDeLHYo,Man,29,College degree or higher,Seasonal OR temporary,Yes,7,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3dMrEvohcsXIpk2,Woman,34,High School,Permanent,Yes,72,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2uNCBTVliSPo3aI,Man,28,High School,Permanent,Yes,72,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Somewhat disagree,Yes,Yes,1
R_3iqJFTJ4dz67Ncs,Man,32,High School,Permanent,Yes,137,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly disagree,No,Somewhat agree,Yes,Somewhat agree,"Maybe, depending on the topic",Yes,1
R_2aqVWfUo4PxrdCc,Woman,22,High School,Seasonal OR temporary,Yes,3,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3n28504zxlj7xSo,Man,27,High School,Permanent,Yes,96,Neither satisfied nor dissatisfied,Don't know,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Somewhat agree,"Maybe, depending on the topic",No,1
R_0Tmu89rgx2Hf3tD,Man,28,High School,Permanent,Yes,72,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,Yes,1
R_BLZrnQiJDqubzqh,Man,44,High School,Permanent,Yes,156,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3fDg9X2v196Acpt,Woman,36,High School,Permanent,Yes,120,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_AHfpb5pGcytA6AN,Man,32,High School,Permanent,No,18,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,No,Yes,1
R_Oa5JFz3wzLdApDb,Woman,35,High School,Permanent,Yes,96,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,Yes,1
R_D1ZnIfu6iWpFj6F,Man,31,High School,Permanent,Yes,48,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2BfECTD4SZBslUV,Man,35,High School,Permanent,Yes,156,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2PosvajDdl3v5cg,Man,30,Elementary School,Seasonal OR temporary,Yes,3,Very satisfied,Yes,No,Refused,Refused,Don't know,Strongly Agree,Yes,Refused,Don't know,Yes,1
R_1N9efsYuE0TRkOZ,Woman,36,High School,Permanent,Yes,156,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_22rXtQdjQRu5qwV,Woman,38,High School,Permanent,Yes,48,Very satisfied,No,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly agree,Yes,No,1
R_1F52jOdlRYQDG41,Man,43,Middle School,Permanent,Yes,161,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_1ewA2ltpElZewhQ,Woman,24,Middle School,Seasonal OR temporary,Yes,2,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_1BPIqoIh7wN08p7,Man,21,High School,Seasonal OR temporary,Yes,8,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2UbVOwEnqqYazMF,Man,43,Middle School,Permanent,Yes,84,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3MgMQedLNUa971s,Man,32,High School,Permanent,Yes,80,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3HIwq2QP9ZV2WTM,Man,37,Middle School,Permanent,Yes,1,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Refused,Yes,Yes,1
R_2vY1VW7D8RfIMIF,Man,38,Middle School,Permanent,Yes,72,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_C9VjUXypKSpAimB,Man,45,Middle School,Permanent,Yes,48,Somewhat dissatisfied,Yes,No,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,Don't know,Yes,1
R_2Y62o69ei6CVVSR,Woman,23,College degree or higher,Seasonal OR temporary,Yes,5,Very satisfied,Yes,No,Very good,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,Yes,Yes,1
R_2DMs12OK74abD07,Man,19,High School,Seasonal OR temporary,Yes,6,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Don't know,Strongly disagree,Yes,No,1
R_2CcU749HbVI2zVy,Man,36,Middle School,Permanent,Yes,72,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Refused,Yes,Refused,1
R_2xCYmhdB2oNQluq,Man,26,College degree or higher,Seasonal OR temporary,Yes,9,Very satisfied,Yes,Yes,Very good,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_21dOuJMsseFOUcH,Man,48,Elementary School,Permanent,Yes,30,Somewhat Satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Somewhat disagree,"Maybe, depending on the topic",No,1
R_27vaCLNkN1Ijaho,Woman,25,Middle School,Seasonal OR temporary,Yes,7,Neither satisfied nor dissatisfied,Don't know,No,Neither good or bad,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",Yes,1
R_1FIFhK2kpiQcxQL,Woman,25,Middle School,Seasonal OR temporary,Yes,3,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3Oexl9LTyRxvHzh,Woman,36,Elementary School,Seasonal OR temporary,Yes,1,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,Yes,No,1
R_yHHKzOacBzhKqv7,Man,30,Middle School,Permanent,Yes,152,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_3qWn6CEknKBpGLB,Man,30,High School,Permanent,Yes,96,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,Yes,1
R_3qlK7i4dsANS94i,Man,33,High School,Permanent,Yes,108,Somewhat Satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,0
R_qDdcZvxAx8VrSDL,Man,32,Elementary School,Permanent,Refused,192,Very satisfied,Yes,Yes,Neither good or bad,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_11hBXj3SqF9tOds,Man,39,No school,Permanent,Yes,123,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly agree,No,No,0
R_9MIFqBof1N9PNxn,Man,34,Middle School,Permanent,Yes,96,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Somewhat agree,No,Yes,1
R_CjiB0vWJAwdlTAR,Man,23,High School,Permanent,Yes,12,Very satisfied,Yes,Don't know,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Somewhat disagree,"Maybe, depending on the topic",No,1
R_6F3ZjQahhj8xeP7,Man,34,Middle School,Permanent,Yes,48,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2PA5cDeyXgKOAge,Woman,25,Middle School,Permanent,Yes,13,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_27eRUZXWahWYx0Y,Man,32,Middle School,Permanent,Yes,196,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Somewhat agree,Don't know,Yes,1
R_9ZiKM04WGwutnUd,Man,30,Elementary School,Permanent,Yes,62,Somewhat Satisfied,Refused,No,Somewhat good,Somewhat agree,No,Somewhat agree,Yes,Agree nor disagree,"Maybe, depending on the topic",No,1
R_cMuqbgpQNNhShYB,Man,39,Middle School,Permanent,Yes,36,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Agree nor disagree,"Maybe, depending on the topic",Yes,1
R_9npwixbOpFEiAIF,Man,32,High School,Permanent,Yes,120,Very satisfied,Yes,No,Somewhat good,Somewhat agree,No,Somewhat disagree,Yes,Strongly disagree,Yes,No,1
R_2qxRU2muJp8wwqO,Man,48,Elementary School,Permanent,Yes,168,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_3fuVrisCBhyPTOM,Man,48,Elementary School,Permanent,Yes,5,Somewhat dissatisfied,Yes,Don't know,Somewhat good,Agree nor disagree,No,Strongly Agree,Yes,Strongly disagree,Don't know,No,1
R_41nn5QjHzCL6YSJ,Man,36,High School,Permanent,Yes,150,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_3psZ8gR0drUWdqP,Man,32,High School,Permanent,Yes,144,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,Yes,1
R_1jwaY7XP63FEUbA,Man,29,High School,Permanent,Yes,16,Somewhat Satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Agree nor disagree,Yes,No,1
R_3qWDJVVqkByEvnT,Man,30,Middle School,Seasonal OR temporary,Yes,5,Somewhat Satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_1LwHwhe4SPWZUYs,Man,30,Middle School,Permanent,Yes,71,Very satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Somewhat agree,Yes,Somewhat agree,Yes,Yes,1
R_a5EQO8RfKJ85eLv,Man,36,Middle School,Permanent,Yes,120,Somewhat Satisfied,No,Yes,Neither good or bad,Strongly agree,No,Agree nor disagree,Yes,Somewhat agree,"Maybe, depending on the topic",Yes,0
R_1rBmQ60ovoq3Oip,Woman,29,High School,Seasonal OR temporary,Yes,3,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3eh8sf6cnZw20IN,Man,30,Middle School,Permanent,Yes,120,Very satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3kGj2al1j6EEOoJ,Man,22,Elementary School,Seasonal OR temporary,Yes,3,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2SCV5gSomkdUavC,Man,32,Middle School,Permanent,Yes,96,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,Yes,1
R_XB9jlpTLeA257MZ,Woman,24,Middle School,Permanent,Yes,18,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_7Tyc1UPEumHyS9b,Man,24,High School,Seasonal OR temporary,Yes,2,Very satisfied,Yes,No,Very good,Strongly agree,Yes,Strongly Agree,Yes,Strongly agree,Yes,No,1
R_2VrN1PWouWfDcKF,Man,36,Middle School,Permanent,Yes,132,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_32WVLKyGYiEauD6,Man,27,High School,Permanent,Yes,6,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Agree nor disagree,"Maybe, depending on the topic",No,1
R_1jfyGrEXOYNln8M,Woman,25,Middle School,Seasonal OR temporary,Yes,5,Very satisfied,Don't know,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,Yes,1
R_21iep3I9xx1ECvs,Man,33,Middle School,Permanent,Yes,48,Somewhat Satisfied,Don't know,Yes,Somewhat good,Strongly agree,No,Agree nor disagree,Yes,Strongly disagree,No,Yes,1
R_UsTT4sLO5lqt9kt,Man,20,High School,Permanent,Yes,11,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_1KfhIarsG0ffflz,Woman,33,High School,Permanent,Yes,134,Somewhat Satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Somewhat agree,Yes,Strongly disagree,"Maybe, depending on the topic",Yes,1
R_3KT5GU1hTe1oWhj,Man,24,Middle School,Seasonal OR temporary,Yes,8,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Don't know,No,1
R_3GewneiXOoo3G4H,Woman,38,Middle School,Permanent,Yes,228,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_1OZyTfPglSqWFQP,Woman,35,Middle School,Seasonal OR temporary,Yes,7,Very satisfied,Don't know,Yes,Neither good or bad,Strongly agree,No,Agree nor disagree,Yes,Refused,"Maybe, depending on the topic",No,1
R_2S6nfNiGRofoiFp,Woman,39,Middle School,Permanent,No,60,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2dsERuf0hCRy4Ul,Man,34,Elementary School,Seasonal OR temporary,Yes,6,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
