worker_type_core,understand_contract,entity_tenure_total_months,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,injury_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,factory_recommend_tf_core
Seasonal OR temporary,Yes,33,Very satisfied,Yes,No,Very good,Somewhat agree,No,,Strongly Agree,Yes,Somewhat disagree,10
Permanent,Yes,18,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
Permanent,Yes,12,Somewhat Satisfied,Yes,No,Neither good or bad,Agree nor disagree,No,,Strongly Agree,Yes,Strongly disagree,8
Permanent,Yes,36,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,9
Permanent,Yes,36,Very satisfied,Yes,No,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,9
Permanent,Yes,36,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,9
Permanent,Yes,60,Very satisfied,Yes,Yes,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
Permanent,Yes,63,Neither satisfied nor dissatisfied,Yes,No,Somewhat bad,Somewhat disagree,No,,Strongly Agree,Yes,Strongly disagree,4
Permanent,Yes,24,Very satisfied,Yes,Yes,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
Permanent,Yes,48,Very satisfied,Yes,No,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
Permanent,Yes,69,Very satisfied,Yes,No,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly agree,10
Permanent,Yes,8,Very satisfied,Yes,No,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
Seasonal OR temporary,Yes,15,Very satisfied,Yes,Yes,Very good,Somewhat agree,No,,Strongly Agree,Yes,Strongly disagree,9
Permanent,Yes,24,Very satisfied,Yes,No,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly agree,10
Seasonal OR temporary,Yes,30,Very satisfied,Yes,Yes,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
Permanent,Yes,35,Very satisfied,Yes,Yes,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
Permanent,Yes,15,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
Permanent,Yes,12,Very satisfied,Yes,Yes,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
Seasonal OR temporary,Yes,3,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
Permanent,Yes,4,Very satisfied,Yes,No,Neither good or bad,Somewhat agree,No,,Strongly Agree,Yes,Refused,10
Permanent,Yes,36,Somewhat Satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,,Strongly Agree,Yes,Strongly disagree,7
Permanent,Yes,27,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,8
Permanent,Yes,10,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,9
Permanent,Yes,36,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,9
Seasonal OR temporary,Yes,7,Somewhat Satisfied,Yes,No,Somewhat good,Somewhat agree,No,,Strongly Agree,Yes,Strongly disagree,6
Permanent,Yes,5,Somewhat Satisfied,Yes,No,Somewhat good,Somewhat agree,No,,Strongly Agree,Yes,Strongly disagree,9
